,Nat,Skater,JGP,CS,GP,Ch,WD,MeanEventTotal,nmean,MeanEventBV,nBV,MeanEventTES,nTES,MeanEventPCS,nPCS,MeanJump,nJump,MeanSpin,nSpin,MeanStep Seq,nstepseq,MeanChor Seq,nchorseq,MeanSS,nSS,MeanTR,NTR,MeanPE,nPE,MeanCO,nCO,MeanIN,nIN
10,🇷🇺,Maiia Khromykh,0,1,2,0,0,213.35,3,100.63,3,114.2,3,100.16,3,7.65,30,4.18,18,4.12,6,4.37,3,8.34,6,8.21,6,8.27,6,8.42,6,8.39,6
11,🇧🇪,Loena Hendrickx,0,1,2,1,0,210.7,4,90.84,4,107.93,4,103.26,4,6.72,40,4.23,24,5.33,8,4.63,4,8.46,8,8.36,8,8.6,8,8.68,8,8.69,8
12,🇷🇺,Sofia Muravieva,2,0,0,0,0,210.03,2,92.04,2,113.91,2,96.12,2,7.94,20,4.06,12,5.09,4,Null,0,7.97,4,7.78,4,8.05,4,7.92,4,8.14,4
13,🇺🇸,Alysa Liu,0,2,2,0,0,209.02,4,97.68,4,109.12,4,100.4,4,6.95,40,4.21,24,4.95,8,4.41,4,8.3,8,8.16,8,8.4,8,8.41,8,8.42,8
14,🇷🇺,Adeliia Petrosian,2,0,0,0,0,205.89,2,97.28,2,114.04,2,91.85,2,8.1,20,4.11,12,4.22,4,Null,0,7.7,4,7.51,4,7.76,4,7.58,4,7.67,4
15,🇺🇸,Isabeau Levito,2,0,0,0,0,205.33,2,92.94,2,112.32,2,93,2,7.72,20,4.22,12,4.92,4,Null,0,7.62,4,7.59,4,7.8,4,7.72,4,7.92,4
16,🇯🇵,Satoko Miyahara,0,0,2,0,0,205.04,2,91.51,2,101.28,2,103.76,2,6.14,20,4.11,12,5.42,4,4.42,2,8.64,4,8.48,4,8.6,4,8.7,4,8.72,4
17,🇷🇺,Sofia Samodelkina,2,0,0,0,0,204.03,2,102.95,2,114.06,2,90.96,2,8.05,20,3.98,12,4.84,4,Null,0,7.68,4,7.26,4,7.6,4,7.58,4,7.72,4
18,🇷🇺,Ksenia Sinitsina,0,0,2,0,0,202.26,2,94.33,2,106.94,2,95.32,2,7.14,20,3.87,12,4.04,4,4.28,2,7.89,4,7.75,4,8,4,7.96,4,8.01,4
19,🇰🇷,Yelim Kim,0,0,2,1,0,200.92,3,90.1,3,104.45,3,97.14,3,6.89,30,3.81,18,4.36,6,4,3,8.18,6,7.86,6,8.14,6,8.11,6,8.08,6
20,🇺🇸,Mariah Bell,0,0,2,0,0,200.57,2,87.76,2,102.03,2,99.04,2,6.47,20,3.91,12,4.6,4,4.64,2,8.15,4,7.99,4,8.23,4,8.24,4,8.35,4
21,🇯🇵,Wakaba Higuchi,0,1,2,0,0,199.87,3,91.75,3,101.61,3,98.93,3,6.35,30,3.97,18,4.91,6,4.43,3,8.31,6,8,6,8.2,6,8.3,6,8.39,6
22,🇰🇷,Young You,0,1,2,1,0,199.84,4,96.2,4,103.64,4,97.7,4,6.74,40,3.83,24,4.34,8,4.57,4,8.26,8,7.88,8,8.12,8,8.17,8,8.13,8
23,🇷🇺,Anastasia Zinina,2,0,0,0,0,198.43,2,99,2,111.1,2,88.82,2,7.84,20,4.02,12,4.3,4,Null,0,7.43,4,7.17,4,7.45,4,7.42,4,7.48,4
24,🇷🇺,Elizaveta Berestovskaya,1,0,0,0,0,196.07,1,95.73,1,107.61,1,88.46,1,7.26,10,4.28,6,4.66,2,Null,0,7.27,2,7.12,2,7.42,2,7.39,2,7.43,2
25,🇯🇵,Mana Kawabe,0,0,2,0,0,195.98,2,95.08,2,102.92,2,94.56,2,6.98,20,3.58,12,3.61,4,4.43,2,7.95,4,7.64,4,7.82,4,7.83,4,7.77,4
26,🇰🇷,Minchae Kim,1,0,0,0,0,192.48,1,88.08,1,103.65,1,88.83,1,7.39,10,3.4,6,4.66,2,Null,0,7.59,2,7.2,2,7.45,2,7.45,2,7.42,2
