,Nat,Skater,JGP,CS,GP,Ch,WD,MeanEventTotal,nmean,MeanEventBV,nBV,MeanEventTES,nTES,MeanEventPCS,nPCS,MeanJump,nJump,MeanSpin,nSpin,MeanStep Seq,nStepSeq,MeanChor Seq,nChorSeq,MeanSS,nSS,MeanTR,nTR,MeanPE,nPE,MeanCO,nCO,MeanIN,nIN
103,🇰🇷,Hyungyeom Kim,2,0,0,0,0,179.52,2,88.76,2,86.85,2,93.16,2,5.87,20,3.38,12,3.93,4,Null,0,6.19,4,6.05,4,6.22,4,6.27,4,6.19,4
104,🇬🇧,Edward Appleby,2,0,0,0,0,179.14,2,93.16,2,88.6,2,92.03,2,6.2,20,3.24,12,3.58,4,Null,0,6.25,4,5.88,4,6.14,4,6.18,4,6.14,4
105,🇨🇿,Matyas Belohradsky,0,3,0,0,0,179.04,3,89.55,3,85.88,3,95.17,3,5.75,33,3.06,21,3.45,7,3.96,3,6.51,6,6.15,6,6.33,6,6.37,6,6.45,6
106,🇨🇦,Matthew Newnham,1,0,0,0,0,178.39,1,83.54,1,82.43,1,97.96,1,5.22,10,3.76,6,3.82,2,Null,0,6.52,2,6.3,2,6.58,2,6.61,2,6.68,2
107,🇺🇸,Maxim Zharkov,1,0,0,0,0,178.05,1,90.73,1,86.11,1,93.94,1,5.98,10,3.23,6,3.46,2,Null,0,6.43,2,6.08,2,6.23,2,6.32,2,6.2,2
108,🇮🇱,Lev Vinokur,2,0,0,0,0,177.88,2,95.54,2,90.55,2,89.34,2,6.57,20,3,12,3.4,4,Null,0,6.04,4,5.73,4,6.08,4,5.96,4,6.07,4
109,🇮🇹,Alessandro Fadini,0,1,0,0,0,177.74,1,93.47,1,83.99,1,96.75,1,5.06,10,3.45,6,4.44,2,3.8,1,6.5,2,6.22,2,6.45,2,6.45,2,6.62,2
110,🇫🇮,Valtter Virtanen,0,3,0,1,0,177.3,4,83.96,4,80.61,4,97.94,4,4.82,40,3.43,24,4,8,3.82,4,6.61,8,6.32,8,6.52,8,6.65,8,6.68,8
111,🇨🇭,Nurullah Sahaka,0,1,0,0,0,176.85,1,80.35,1,79.77,1,99.08,1,4.43,10,3.72,6,4.6,2,3.92,1,6.62,2,6.29,2,6.58,2,6.77,2,6.71,2
112,🇵🇭,Edrian Paul Celestino,0,2,0,0,0,176.59,2,77.7,2,77.42,2,99.68,2,4.92,20,3.04,12,3.3,4,3.32,2,6.81,4,6.48,4,6.6,4,6.68,4,6.71,4
113,🇮🇹,Matteo Nalbone,1,0,0,0,0,176.4,1,83.3,1,84.12,1,92.28,1,6.08,10,2.96,6,2.77,2,Null,0,6.25,2,5.86,2,6.14,2,6.25,2,6.12,2
114,🇺🇸,Kai Kovar,1,0,0,0,0,175.87,1,91.08,1,88.98,1,89.89,1,6,10,3.62,6,3.61,2,Null,0,6.09,2,5.88,2,5.91,2,6,2,5.94,2
115,🇰🇿,Dias Jirenbayev,1,2,0,1,0,174.3,4,81.47,4,83.22,4,91.33,4,5.61,40,3.05,24,3.02,8,3.68,3,6.2,8,5.84,8,6.02,8,6.09,8,6.14,8
116,🇧🇾,Alexander Lebedev,2,0,0,0,1,173.33,2,83.48,2,79.84,2,94.98,2,5.76,23,2.79,15,3.15,5,Null,0,6.4,4,6.16,4,6.23,4,6.45,4,6.44,4
117,🇮🇹,Raffaele Francesco Zich,1,3,0,0,0,172.82,4,81.64,4,79.8,4,93.52,4,5.01,40,3.11,24,4.15,8,3.63,3,6.39,8,6.07,8,6.19,8,6.34,8,6.25,8
118,🇨🇦,Beresford Clements,0,2,0,0,0,172.66,2,88.89,2,83.92,2,91.74,2,5.64,20,3.02,12,3.18,4,3.04,2,6.26,4,6.04,4,6.01,4,6.24,4,6.15,4
119,🇨🇦,Bennet Toman,0,1,0,0,0,172.33,1,102.57,1,84.25,1,91.08,1,5.48,10,3.46,6,2.85,2,3,1,6.32,2,6.03,2,5.97,2,6.22,2,6.1,2
120,🇩🇪,Kai Jagoda,0,3,0,0,0,169.96,3,83.87,3,77.76,3,95.87,3,4.66,30,3.49,18,3.78,6,2.63,3,6.56,6,6.29,6,6.2,6,6.52,6,6.48,6
121,🇩🇪,Louis Weissert,2,0,0,0,0,169.43,2,76.26,2,77.32,2,92.61,2,5.1,20,3.25,12,3.4,4,Null,0,6.15,4,6.05,4,6.1,4,6.21,4,6.27,4
122,🇷🇺,Alexander Golubev,1,0,0,0,0,168.82,1,87.74,1,79.39,1,92.43,1,5.11,10,3.6,6,3.31,2,Null,0,6.64,2,5.95,2,6.25,2,6.34,2,6.2,2
123,🇫🇮,Makar Suntsev,2,3,0,0,0,167.51,5,80.57,5,77.25,5,91.66,5,4.97,50,2.97,30,3.9,10,3.32,3,6.14,10,6.02,10,6,10,6.24,10,6.18,10
124,🇫🇷,Ian Vauclin,2,0,0,0,0,164.96,2,77.59,2,77.1,2,89.36,2,5.07,20,3.36,12,3.15,4,Null,0,6.04,4,5.66,4,5.97,4,6.06,4,6.12,4
125,🇦🇲,Semen Daniliants,1,0,0,0,0,163.77,1,87.61,1,83.18,1,82.59,1,5.78,10,3.23,6,3.02,2,Null,0,5.56,2,5.18,2,5.44,2,5.6,2,5.54,2
126,🇫🇷,Yann Frechon,0,1,0,0,0,162.89,1,80.96,1,74.99,1,87.9,1,5.19,10,2.91,6,1.57,2,2.5,1,6.22,2,5.78,2,5.8,2,6.02,2,5.82,2
127,🇸🇰,Adam Hagara,1,1,0,0,0,162.52,2,95.22,2,85,2,78.02,2,6.42,23,2.63,15,2.79,5,2.83,1,5.64,4,5.18,4,5.36,4,5.44,4,5.35,4
128,🇹🇷,Alp Eren Ozkan,1,1,0,0,0,162.24,2,92.94,2,80.31,2,83.44,2,5.51,20,2.94,12,3.06,4,3,1,5.72,4,5.38,4,5.67,4,5.66,4,5.55,4
129,🇵🇭,Michael Christian Martinez,0,2,0,0,0,161.62,2,80,2,73.16,2,89.96,2,4.4,20,3.23,12,3.26,4,3.28,2,6.22,4,5.69,4,6.11,4,6.14,4,6.24,4
130,🇺🇦,Andrey Kokura,1,0,0,0,0,161.42,1,89.51,1,77.74,1,83.68,1,5.38,10,2.79,6,3.6,2,Null,0,5.66,2,5.23,2,5.56,2,5.71,2,5.71,2
